Slope  R^2  Ks
10.24  0.987  0.091
10.42  0.997  0.048
10.24  0.989  0.092
10.53  0.992  0.073
10.64  0.992  0.089
Slope  R^2  Ks
10.96  0.99  0.092
10.06  0.983  0.122
10.25  0.987  0.104
10.91  0.988  0.067
11.33  0.996  0.044
Slope  R^2  Ks
10.15  0.987  0.13
11.04  0.989  0.083
10.46  0.994  0.054
9.54  0.985  0.075
10.07  0.989  0.07
